Gene	RNA blood cell specificity	RNA cancer specificity
SPARC	Cell type enhanced	Low cancer specificity
IK	Low cell type specificity	Low cancer specificity
HMGCR	Low cell type specificity	Low cancer specificity
COL4A3BP	Low cell type specificity	Low cancer specificity
FAF2	Low cell type specificity	Low cancer specificity
HAND1	Not detected	Group enriched
PCDHB3	Not detected	Low cancer specificity
PCDHB5	Not detected	Low cancer specificity
PCDHB6	Not detected	Low cancer specificity
PCDHB7	Not detected	Cancer enhanced
PDE8B	Low cell type specificity	Cancer enriched
CLK4	Low cell type specificity	Low cancer specificity
PCDHB15	Cell type enriched	Low cancer specificity
HAVCR1	Low cell type specificity	Cancer enriched
GRM6	Low cell type specificity	Not detected
ITK	Group enriched	Low cancer specificity
RNF130	Group enriched	Low cancer specificity
THG1L	Low cell type specificity	Low cancer specificity
ARSB	Cell type enhanced	Low cancer specificity
CLINT1	Group enriched	Low cancer specificity
THBS4	Cell type enriched	Low cancer specificity
CNOT6	Low cell type specificity	Low cancer specificity
IL12B	Cell type enhanced	Cancer enriched
BTNL8	Cell type enriched	Group enriched
TTC1	Low cell type specificity	Low cancer specificity
MSH3	Low cell type specificity	Low cancer specificity
RASGRF2	Group enriched	Low cancer specificity
GABRG2	Cell type enhanced	Cancer enhanced
CCNG1	Low cell type specificity	Low cancer specificity
POLR3G	Low cell type specificity	Low cancer specificity
DROSHA	Low cell type specificity	Low cancer specificity
CDH6	Low cell type specificity	Group enriched
LMNB1	Low cell type specificity	Low cancer specificity
ARRDC3	Cell type enhanced	Low cancer specificity
GOLPH3	Low cell type specificity	Low cancer specificity
SUB1	Low cell type specificity	Low cancer specificity
NPR3	Cell type enriched	Cancer enhanced
FAM172A	Low cell type specificity	Low cancer specificity
SLC27A6	Not detected	Cancer enriched
TARS	Low cell type specificity	Low cancer specificity
IRX4	Not detected	Low cancer specificity
LNPEP	Low cell type specificity	Low cancer specificity
PDE4D	Cell type enriched	Low cancer specificity
RAD1	Low cell type specificity	Low cancer specificity
BRIX1	Low cell type specificity	Low cancer specificity
AGXT2	Not detected	Group enriched
PRLR	Group enriched	Cancer enriched
SLC12A7	Low cell type specificity	Low cancer specificity
IL4	Cell type enriched	Not detected
RAD50	Low cell type specificity	Low cancer specificity
IL5	Cell type enriched	Not detected
ST8SIA4	Cell type enhanced	Low cancer specificity
GNPDA1	Low cell type specificity	Low cancer specificity
PCDH12	Cell type enriched	Low cancer specificity
SKP1	Low cell type specificity	Low cancer specificity
NUP155	Low cell type specificity	Low cancer specificity
PPP2CA	Low cell type specificity	Low cancer specificity
FGF1	Low cell type specificity	Cancer enriched
NR3C1	Low cell type specificity	Low cancer specificity
C5orf15	Low cell type specificity	Low cancer specificity
PPWD1	Low cell type specificity	Low cancer specificity
LIFR	Not detected	Low cancer specificity
TRIM23	Low cell type specificity	Low cancer specificity
TRAPPC13	Low cell type specificity	Low cancer specificity
C9	Not detected	Cancer enriched
SEC24A	Low cell type specificity	Low cancer specificity
TXNDC15	Low cell type specificity	Low cancer specificity
TTC33	Low cell type specificity	Low cancer specificity
RARS	Low cell type specificity	Low cancer specificity
WWC1	Low cell type specificity	Low cancer specificity
H2AFY	Low cell type specificity	Low cancer specificity
TCERG1	Low cell type specificity	Low cancer specificity
