Gene	RNA blood cell specificity	RNA cancer specificity
TSPAN6	Cell type enhanced	Low cancer specificity
TNMD	Not detected	Low cancer specificity
DPM1	Low cell type specificity	Low cancer specificity
SCYL3	Low cell type specificity	Low cancer specificity
C1orf112	Low cell type specificity	Low cancer specificity
FGR	Low cell type specificity	Low cancer specificity
CFH	Cell type enhanced	Cancer enriched
FUCA2	Low cell type specificity	Low cancer specificity
GCLC	Cell type enhanced	Low cancer specificity
NFYA	Low cell type specificity	Low cancer specificity
STPG1	Low cell type specificity	Low cancer specificity
NIPAL3	Low cell type specificity	Low cancer specificity
LAS1L	Low cell type specificity	Low cancer specificity
ENPP4	Low cell type specificity	Low cancer specificity
SEMA3F	Not detected	Low cancer specificity
CFTR	Not detected	Cancer enhanced
ANKIB1	Low cell type specificity	Low cancer specificity
CYP51A1	Low cell type specificity	Low cancer specificity
KRIT1	Low cell type specificity	Low cancer specificity
RAD52	Low cell type specificity	Low cancer specificity
BAD	Low cell type specificity	Low cancer specificity
LAP3	Low cell type specificity	Low cancer specificity
CD99	Low cell type specificity	Low cancer specificity
HS3ST1	Group enriched	Low cancer specificity
AOC1	Cell type enriched	Group enriched
WNT16	Group enriched	Low cancer specificity
HECW1	Cell type enhanced	Not detected
MAD1L1	Low cell type specificity	Low cancer specificity
LASP1	Low cell type specificity	Low cancer specificity
SNX11	Low cell type specificity	Low cancer specificity
TMEM176A	Cell type enhanced	Cancer enhanced
M6PR	Low cell type specificity	Low cancer specificity
KLHL13	Group enriched	Low cancer specificity
CYP26B1	Not detected	Low cancer specificity
ICA1	Cell type enriched	Low cancer specificity
DBNDD1	Cell type enriched	Low cancer specificity
ALS2	Group enriched	Low cancer specificity
CASP10	Low cell type specificity	Low cancer specificity
CFLAR	Cell type enriched	Low cancer specificity
TFPI	Cell type enhanced	Low cancer specificity
NDUFAF7	Low cell type specificity	Low cancer specificity
RBM5	Low cell type specificity	Low cancer specificity
MTMR7	Low cell type specificity	Low cancer specificity
SLC7A2	Not detected	Low cancer specificity
ARF5	Low cell type specificity	Low cancer specificity
SARM1	Low cell type specificity	Low cancer specificity
POLDIP2	Low cell type specificity	Low cancer specificity
PLXND1	Cell type enhanced	Low cancer specificity
AK2	Low cell type specificity	Low cancer specificity
CD38	Cell type enhanced	Low cancer specificity
FKBP4	Low cell type specificity	Low cancer specificity
KDM1A	Low cell type specificity	Low cancer specificity
RBM6	Low cell type specificity	Low cancer specificity
CAMKK1	Low cell type specificity	Low cancer specificity
RECQL	Low cell type specificity	Low cancer specificity
VPS50	Low cell type specificity	Low cancer specificity
HSPB6	Not detected	Cancer enhanced
ARHGAP33	Not detected	Low cancer specificity
NDUFAB1	Low cell type specificity	Low cancer specificity
PDK4	Group enriched	Cancer enhanced
SLC22A16	Cell type enhanced	Cancer enriched
ZMYND10	Cell type enhanced	Cancer enhanced
ABCB5	Cell type enhanced	Cancer enriched
ARX	Not detected	Low cancer specificity
SLC25A13	Low cell type specificity	Low cancer specificity
ST7	Low cell type specificity	Low cancer specificity
CDC27	Low cell type specificity	Low cancer specificity
SLC4A1	Low cell type specificity	Cancer enriched
CALCR	Cell type enhanced	Cancer enriched
HCCS	Low cell type specificity	Low cancer specificity
DVL2	Low cell type specificity	Low cancer specificity
PRSS22	Not detected	Low cancer specificity
UPF1	Low cell type specificity	Low cancer specificity
SKAP2	Low cell type specificity	Low cancer specificity
SLC25A5	Low cell type specificity	Low cancer specificity
MCUB	Low cell type specificity	Low cancer specificity
HOXA11	Not detected	Low cancer specificity
POLR2J	Low cell type specificity	Low cancer specificity
DHX33	Low cell type specificity	Low cancer specificity
MEOX1	Cell type enhanced	Low cancer specificity
THSD7A	Cell type enriched	Low cancer specificity
LIG3	Low cell type specificity	Low cancer specificity
RPAP3	Low cell type specificity	Low cancer specificity
ACSM3	Cell type enhanced	Low cancer specificity
REXO5	Cell type enriched	Low cancer specificity
CIAPIN1	Low cell type specificity	Low cancer specificity
SPPL2B	Low cell type specificity	Low cancer specificity
FAM214B	Cell type enhanced	Low cancer specificity
COPZ2	Low cell type specificity	Low cancer specificity
PRKAR2B	Cell type enhanced	Low cancer specificity
MSL3	Low cell type specificity	Low cancer specificity
CREBBP	Low cell type specificity	Low cancer specificity
TSPOAP1	Cell type enhanced	Low cancer specificity
MPO	Group enriched	Cancer enhanced
PON1	Cell type enhanced	Cancer enriched
GCFC2	Low cell type specificity	Low cancer specificity
WDR54	Low cell type specificity	Low cancer specificity
CROT	Low cell type specificity	Low cancer specificity
ABCB4	Group enriched	Cancer enriched
KMT2E	Low cell type specificity	Low cancer specificity
RHBDD2	Low cell type specificity	Low cancer specificity
SOX8	Cell type enhanced	Cancer enriched
IBTK	Low cell type specificity	Low cancer specificity
ZNF195	Low cell type specificity	Low cancer specificity
MYCBP2	Low cell type specificity	Low cancer specificity
FBXL3	Low cell type specificity	Low cancer specificity
ITGAL	Low cell type specificity	Low cancer specificity
PDK2	Low cell type specificity	Low cancer specificity
ITGA3	Cell type enhanced	Low cancer specificity
ZFX	Low cell type specificity	Low cancer specificity
LAMP2	Cell type enhanced	Low cancer specificity
ITGA2B	Cell type enriched	Low cancer specificity
ASB4	Low cell type specificity	Cancer enhanced
GDE1	Low cell type specificity	Low cancer specificity
REX1BD	Low cell type specificity	Low cancer specificity
CRLF1	Not detected	Cancer enhanced
OSBPL7	Low cell type specificity	Low cancer specificity
TMEM98	Cell type enriched	Low cancer specificity
YBX2	Not detected	Low cancer specificity
KRT33A	Not detected	Cancer enhanced
MAP3K14	Low cell type specificity	Low cancer specificity
ABCC8	Not detected	Cancer enriched
CACNG3	Not detected	Cancer enriched
TMEM132A	Cell type enhanced	Low cancer specificity
AP2B1	Low cell type specificity	Low cancer specificity
TAC1	Not detected	Low cancer specificity
ZNF263	Low cell type specificity	Low cancer specificity
CX3CL1	Low cell type specificity	Low cancer specificity
SPATA20	Low cell type specificity	Low cancer specificity
CACNA1G	Low cell type specificity	Low cancer specificity
TNFRSF12A	Group enriched	Low cancer specificity
DLX6	Low cell type specificity	Cancer enriched
MAP3K9	Low cell type specificity	Low cancer specificity
RALA	Low cell type specificity	Low cancer specificity
BAIAP2L1	Cell type enhanced	Low cancer specificity
KDM7A	Low cell type specificity	Low cancer specificity
ETV1	Cell type enriched	Cancer enhanced
AGK	Cell type enhanced	Low cancer specificity
ALDH3B1	Cell type enhanced	Low cancer specificity
TTC22	Low cell type specificity	Low cancer specificity
PHTF2	Cell type enhanced	Low cancer specificity
CCL26	Cell type enriched	Cancer enhanced
FARP2	Low cell type specificity	Low cancer specificity
USH1C	Not detected	Group enriched
GGCT	Low cell type specificity	Low cancer specificity
DBF4	Low cell type specificity	Low cancer specificity
TBXA2R	Cell type enhanced	Low cancer specificity
IFRD1	Group enriched	Low cancer specificity
LGALS14	Cell type enhanced	Cancer enriched
COX10	Low cell type specificity	Low cancer specificity
GTF2IRD1	Cell type enhanced	Low cancer specificity
PAF1	Low cell type specificity	Low cancer specificity
VPS41	Low cell type specificity	Low cancer specificity
ARHGAP44	Not detected	Low cancer specificity
ELAC2	Low cell type specificity	Low cancer specificity
SCIN	Low cell type specificity	Cancer enhanced
ARSD	Low cell type specificity	Low cancer specificity
PNPLA4	Low cell type specificity	Low cancer specificity
MYH13	Not detected	Not detected
ADIPOR2	Low cell type specificity	Low cancer specificity
CDKL3	Low cell type specificity	Low cancer specificity
UPP2	Cell type enhanced	Cancer enriched
PRSS21	Group enriched	Cancer enhanced
MARK4	Low cell type specificity	Low cancer specificity
PROM1	Not detected	Low cancer specificity
CCDC124	Low cell type specificity	Low cancer specificity
CEACAM21	Low cell type specificity	Low cancer specificity
PAFAH1B1	Low cell type specificity	Low cancer specificity
NOS2	Not detected	Cancer enhanced
DNAH9	Not detected	Cancer enhanced
KIAA0100	Low cell type specificity	Low cancer specificity
SLC13A2	Not detected	Low cancer specificity
GAS7	Cell type enhanced	Cancer enhanced
TRAPPC6A	Low cell type specificity	Low cancer specificity
MATK	Cell type enhanced	Low cancer specificity
CEACAM7	Not detected	Cancer enhanced
CD79B	Group enriched	Low cancer specificity
SCN4A	Cell type enhanced	Cancer enhanced
ST7L	Low cell type specificity	Low cancer specificity
TKTL1	Group enriched	Cancer enriched
PAX6	Cell type enhanced	Cancer enhanced
RPUSD1	Low cell type specificity	Low cancer specificity
RHBDF1	Cell type enhanced	Low cancer specificity
LUC7L	Low cell type specificity	Low cancer specificity
CACNA2D2	Low cell type specificity	Cancer enhanced
BAIAP3	Cell type enhanced	Low cancer specificity
TSR3	Low cell type specificity	Low cancer specificity
PIGQ	Low cell type specificity	Low cancer specificity
CRAMP1	Low cell type specificity	Low cancer specificity
TEAD3	Cell type enhanced	Low cancer specificity
SELE	Not detected	Low cancer specificity
DNAJC11	Low cell type specificity	Low cancer specificity
FMO3	Not detected	Cancer enriched
MYLIP	Low cell type specificity	Low cancer specificity
NOX1	Low cell type specificity	Cancer enriched
E2F2	Cell type enhanced	Low cancer specificity
PSMB1	Low cell type specificity	Low cancer specificity
SYN1	Not detected	Cancer enhanced
JARID2	Low cell type specificity	Low cancer specificity
CDKL5	Group enriched	Low cancer specificity
CAMK1G	Not detected	Low cancer specificity
CDK11A	Cell type enhanced	Low cancer specificity
NADK	Cell type enhanced	Low cancer specificity
TFAP2B	Not detected	Cancer enriched
TFAP2D	Not detected	Cancer enriched
DLEC1	Low cell type specificity	Low cancer specificity
CYTH3	Cell type enhanced	Cancer enhanced
ADAM22	Low cell type specificity	Low cancer specificity
SYPL1	Low cell type specificity	Low cancer specificity
CYB561	Low cell type specificity	Low cancer specificity
SPAG9	Group enriched	Low cancer specificity
CELSR3	Cell type enhanced	Low cancer specificity
AASS	Cell type enhanced	Low cancer specificity
PLEKHG6	Group enriched	Low cancer specificity
SS18L2	Low cell type specificity	Low cancer specificity
MPND	Low cell type specificity	Low cancer specificity
MGST1	Group enriched	Low cancer specificity
CRY1	Low cell type specificity	Low cancer specificity
PGLYRP1	Group enriched	Not detected
NFIX	Cell type enhanced	Low cancer specificity
ST3GAL1	Low cell type specificity	Low cancer specificity
MMP25	Group enriched	Cancer enhanced
IL32	Cell type enhanced	Low cancer specificity
PKD1	Not detected	Low cancer specificity
MAPK8IP2	Not detected	Low cancer specificity
MED24	Low cell type specificity	Low cancer specificity
RHOBTB2	Low cell type specificity	Low cancer specificity
HEATR5B	Low cell type specificity	Low cancer specificity
SEC62	Low cell type specificity	Low cancer specificity
RPS20	Low cell type specificity	Low cancer specificity
CSDE1	Low cell type specificity	Low cancer specificity
UBE3C	Low cell type specificity	Low cancer specificity
REV3L	Low cell type specificity	Low cancer specificity
TENM1	Cell type enhanced	Group enriched
PAX7	Not detected	Group enriched
MASP2	Low cell type specificity	Cancer enriched
IYD	Cell type enhanced	Cancer enriched
FAM76A	Low cell type specificity	Low cancer specificity
TRAF3IP3	Low cell type specificity	Low cancer specificity
POMT2	Low cell type specificity	Low cancer specificity
VTA1	Low cell type specificity	Low cancer specificity
MLXIPL	Not detected	Cancer enriched
BAZ1B	Low cell type specificity	Low cancer specificity
RANBP9	Low cell type specificity	Low cancer specificity
ETV7	Cell type enhanced	Low cancer specificity
SPRTN	Low cell type specificity	Low cancer specificity
METTL13	Low cell type specificity	Low cancer specificity
DYRK4	Low cell type specificity	Low cancer specificity
ZNF207	Low cell type specificity	Low cancer specificity
UQCRC1	Low cell type specificity	Low cancer specificity
STARD3NL	Low cell type specificity	Low cancer specificity
CD9	Group enriched	Low cancer specificity
HHATL	Not detected	Cancer enhanced
NCAPD2	Low cell type specificity	Low cancer specificity
IFFO1	Low cell type specificity	Low cancer specificity
GIPR	Low cell type specificity	Cancer enriched
PHF7	Low cell type specificity	Low cancer specificity
SEMA3G	Cell type enriched	Low cancer specificity
NISCH	Low cell type specificity	Low cancer specificity
STAB1	Group enriched	Low cancer specificity
FUZ	Low cell type specificity	Low cancer specificity
SLC6A13	Not detected	Cancer enriched
IDS	Low cell type specificity	Low cancer specificity
PRSS3	Cell type enriched	Group enriched
ZNF200	Low cell type specificity	Low cancer specificity
CD4	Group enriched	Low cancer specificity
LRRC23	Low cell type specificity	Low cancer specificity
BTK	Cell type enhanced	Low cancer specificity
HFE	Low cell type specificity	Low cancer specificity
SCMH1	Low cell type specificity	Low cancer specificity
FYN	Low cell type specificity	Low cancer specificity
HIVEP2	Low cell type specificity	Low cancer specificity
FMO1	Cell type enriched	Cancer enriched
ELOA	Low cell type specificity	Low cancer specificity
LYPLA2	Low cell type specificity	Low cancer specificity
CLCN6	Low cell type specificity	Low cancer specificity
MRC2	Cell type enhanced	Low cancer specificity
NME1.NME2	Low cell type specificity	Low cancer specificity
SLC6A7	Not detected	Cancer enhanced
TSPAN9	Cell type enhanced	Low cancer specificity
BTBD7	Low cell type specificity	Low cancer specificity
APBA3	Low cell type specificity	Low cancer specificity
MKS1	Low cell type specificity	Low cancer specificity
ABHD5	Group enriched	Low cancer specificity
ANOS1	Not detected	Low cancer specificity
AKAP8L	Low cell type specificity	Low cancer specificity
MBTD1	Cell type enhanced	Low cancer specificity
UTP18	Low cell type specificity	Low cancer specificity
RNF216	Low cell type specificity	Low cancer specificity
TTC19	Low cell type specificity	Low cancer specificity
PTBP1	Low cell type specificity	Low cancer specificity
DPF1	Not detected	Cancer enhanced
SYT7	Not detected	Cancer enhanced
LARS2	Low cell type specificity	Low cancer specificity
PIK3C2A	Low cell type specificity	Low cancer specificity
PLAUR	Cell type enhanced	Low cancer specificity
ANLN	Cell type enhanced	Low cancer specificity
WIZ	Low cell type specificity	Low cancer specificity
RABGAP1	Low cell type specificity	Low cancer specificity
DCN	Cell type enriched	Low cancer specificity
QPCTL	Low cell type specificity	Low cancer specificity
PPP5C	Low cell type specificity	Low cancer specificity
CEP68	Low cell type specificity	Low cancer specificity
MAP4K3	Low cell type specificity	Low cancer specificity
ZBTB32	Cell type enhanced	Low cancer specificity
TYROBP	Cell type enhanced	Low cancer specificity
TMEM159	Low cell type specificity	Low cancer specificity
GABRA3	Cell type enhanced	Cancer enriched
BRCA1	Low cell type specificity	Low cancer specificity
ERCC1	Low cell type specificity	Low cancer specificity
CD22	Group enriched	Low cancer specificity
SEMA3B	Cell type enriched	Low cancer specificity
MBTPS2	Low cell type specificity	Low cancer specificity
PRICKLE3	Low cell type specificity	Low cancer specificity
LTF	Group enriched	Low cancer specificity
EXTL3	Cell type enhanced	Low cancer specificity
NR1H4	Not detected	Group enriched
ELOVL5	Low cell type specificity	Low cancer specificity
ALOX5	Low cell type specificity	Low cancer specificity
KDM5D	Low cell type specificity	Low cancer specificity
CALCOCO1	Low cell type specificity	Low cancer specificity
UBR7	Low cell type specificity	Low cancer specificity
MAP4K5	Cell type enhanced	Low cancer specificity
EHD3	Group enriched	Low cancer specificity
PSMC4	Low cell type specificity	Low cancer specificity
MAN2B2	Low cell type specificity	Low cancer specificity
SLC7A14	Low cell type specificity	Group enriched
CLDN11	Not detected	Cancer enhanced
SLC25A39	Low cell type specificity	Low cancer specificity
MVP	Low cell type specificity	Low cancer specificity
NUB1	Low cell type specificity	Low cancer specificity
PGM3	Low cell type specificity	Low cancer specificity
RWDD2A	Low cell type specificity	Low cancer specificity
CLK1	Low cell type specificity	Low cancer specificity
POLR3B	Low cell type specificity	Low cancer specificity
ANGEL1	Low cell type specificity	Low cancer specificity
RNF14	Low cell type specificity	Low cancer specificity
DNASE1L1	Low cell type specificity	Low cancer specificity
DDX11	Low cell type specificity	Low cancer specificity
HEBP1	Low cell type specificity	Low cancer specificity
GPRC5A	Cell type enhanced	Low cancer specificity
MAMLD1	Low cell type specificity	Low cancer specificity
CD6	Group enriched	Low cancer specificity
TACC3	Cell type enhanced	Low cancer specificity
UFL1	Low cell type specificity	Low cancer specificity
POLA2	Low cell type specificity	Low cancer specificity
ZC3H3	Low cell type specificity	Low cancer specificity
CAPN1	Low cell type specificity	Low cancer specificity
ACPP	Cell type enhanced	Cancer enriched
MDH1	Low cell type specificity	Low cancer specificity
SLC30A9	Low cell type specificity	Low cancer specificity
MTMR11	Group enriched	Low cancer specificity
COX15	Low cell type specificity	Low cancer specificity
CCDC88C	Low cell type specificity	Low cancer specificity
YAF2	Low cell type specificity	Low cancer specificity
ZMYND11	Low cell type specificity	Low cancer specificity
WAS	Cell type enhanced	Low cancer specificity
DPEP1	Not detected	Cancer enriched
BID	Group enriched	Low cancer specificity
MATR3	Low cell type specificity	Low cancer specificity
NPC1L1	Not detected	Group enriched
XYLT2	Low cell type specificity	Low cancer specificity
RGPD5	Low cell type specificity	Not detected
STMN4	Low cell type specificity	Cancer enriched
NUDCD3	Low cell type specificity	Low cancer specificity
ISL1	Not detected	Cancer enhanced
CHDH	Group enriched	Low cancer specificity
IL20RA	Cell type enriched	Low cancer specificity
CLCA1	Not detected	Group enriched
CLCA4	Not detected	Cancer enhanced
GLT8D1	Low cell type specificity	Low cancer specificity
ATP2C1	Low cell type specificity	Low cancer specificity
IGF1	Group enriched	Low cancer specificity
SLC38A5	Low cell type specificity	Low cancer specificity
RALBP1	Cell type enriched	Low cancer specificity
RUFY3	Low cell type specificity	Low cancer specificity
CNTN1	Low cell type specificity	Cancer enhanced
SLC11A1	Group enriched	Low cancer specificity
WWTR1	Cell type enhanced	Low cancer specificity
AGPS	Low cell type specificity	Low cancer specificity
CXorf56	Low cell type specificity	Low cancer specificity
ATP1A2	Low cell type specificity	Cancer enriched
TTC27	Low cell type specificity	Low cancer specificity
ZNF582	Low cell type specificity	Low cancer specificity
VSIG2	Low cell type specificity	Low cancer specificity
PHLDB1	Low cell type specificity	Low cancer specificity
MARCO	Group enriched	Low cancer specificity
CYP24A1	Cell type enhanced	Low cancer specificity
PRDM11	Low cell type specificity	Low cancer specificity
SYT13	Cell type enhanced	Low cancer specificity
SNAI2	Cell type enriched	Low cancer specificity
CD74	Group enriched	Low cancer specificity
HGF	Cell type enriched	Low cancer specificity
ZRANB1	Low cell type specificity	Low cancer specificity
NCDN	Low cell type specificity	Low cancer specificity
ADGRA2	Cell type enhanced	Low cancer specificity
ZFP64	Low cell type specificity	Low cancer specificity
MNAT1	Low cell type specificity	Low cancer specificity
SAMD4A	Cell type enhanced	Low cancer specificity
RUNX3	Low cell type specificity	Low cancer specificity
MRE11	Low cell type specificity	Low cancer specificity
PLEKHB1	Cell type enhanced	Cancer enhanced
SERPINB1	Low cell type specificity	Low cancer specificity
CYP3A43	Low cell type specificity	Cancer enriched
SLC7A9	Not detected	Group enriched
SPAST	Low cell type specificity	Low cancer specificity
NRXN3	Cell type enhanced	Low cancer specificity
OSBPL5	Group enriched	Low cancer specificity
AQR	Low cell type specificity	Low cancer specificity
CPS1	Not detected	Cancer enriched
C8B	Cell type enriched	Cancer enriched
FHL1	Cell type enhanced	Low cancer specificity
RTF2	Low cell type specificity	Low cancer specificity
GABRA1	Not detected	Cancer enriched
NLRP2	Low cell type specificity	Cancer enriched
SLC45A4	Group enriched	Low cancer specificity
RNF10	Low cell type specificity	Low cancer specificity
ZNF839	Low cell type specificity	Low cancer specificity
ZDHHC6	Low cell type specificity	Low cancer specificity
GRAMD1B	Cell type enhanced	Low cancer specificity
RNH1	Low cell type specificity	Low cancer specificity
NDUFS1	Low cell type specificity	Low cancer specificity
RB1CC1	Low cell type specificity	Low cancer specificity
ERP44	Low cell type specificity	Low cancer specificity
ALAS1	Cell type enhanced	Low cancer specificity
BIRC3	Cell type enhanced	Low cancer specificity
AKAP11	Low cell type specificity	Low cancer specificity
GLRX2	Low cell type specificity	Low cancer specificity
SNAPC1	Low cell type specificity	Low cancer specificity
DERA	Low cell type specificity	Low cancer specificity
STRAP	Low cell type specificity	Low cancer specificity
ABCC2	Cell type enhanced	Cancer enhanced
DEF6	Low cell type specificity	Low cancer specificity
PLEKHO1	Low cell type specificity	Low cancer specificity
GCLM	Low cell type specificity	Low cancer specificity
UBR2	Cell type enhanced	Low cancer specificity
EHD2	Cell type enhanced	Low cancer specificity
DEPDC1	Cell type enhanced	Low cancer specificity
CCDC28A	Low cell type specificity	Low cancer specificity
RRAGD	Cell type enhanced	Low cancer specificity
HSF2	Low cell type specificity	Low cancer specificity
PHF20	Low cell type specificity	Low cancer specificity
HSD17B6	Low cell type specificity	Cancer enriched
NR1H3	Cell type enhanced	Low cancer specificity
TYMP	Group enriched	Low cancer specificity
NCAPH2	Low cell type specificity	Low cancer specificity
TOMM34	Low cell type specificity	Low cancer specificity
SEC63	Low cell type specificity	Low cancer specificity
KPNA6	Low cell type specificity	Low cancer specificity
VIM	Low cell type specificity	Low cancer specificity
FAS	Cell type enhanced	Low cancer specificity
RNASET2	Low cell type specificity	Low cancer specificity
CD44	Low cell type specificity	Low cancer specificity
KCNG1	Cell type enriched	Cancer enhanced
AGPAT4	Low cell type specificity	Low cancer specificity
SLAMF7	Low cell type specificity	Low cancer specificity
BTN3A1	Low cell type specificity	Low cancer specificity
MIPEP	Low cell type specificity	Low cancer specificity
PRKCH	Group enriched	Low cancer specificity
INSRR	Not detected	Not detected
IFNGR1	Low cell type specificity	Low cancer specificity
B4GALT7	Low cell type specificity	Low cancer specificity
SH2D2A	Cell type enhanced	Low cancer specificity
VRK2	Low cell type specificity	Low cancer specificity
TNFRSF1B	Cell type enhanced	Low cancer specificity
VEZT	Low cell type specificity	Low cancer specificity
POU2F2	Cell type enhanced	Low cancer specificity
BRD9	Low cell type specificity	Low cancer specificity
SNX1	Low cell type specificity	Low cancer specificity
TBPL1	Low cell type specificity	Low cancer specificity
ARNTL2	Cell type enhanced	Low cancer specificity
BCLAF1	Low cell type specificity	Low cancer specificity
SLC39A9	Low cell type specificity	Low cancer specificity
ANK1	Group enriched	Low cancer specificity
IBSP	Not detected	Cancer enhanced
TFB1M	Low cell type specificity	Low cancer specificity
RABEP1	Low cell type specificity	Low cancer specificity
HMGB3	Low cell type specificity	Low cancer specificity
NUP160	Low cell type specificity	Low cancer specificity
BAK1	Low cell type specificity	Low cancer specificity
MUSK	Not detected	Not detected
IKZF2	Low cell type specificity	Low cancer specificity
GRN	Group enriched	Low cancer specificity
FAM13B	Low cell type specificity	Low cancer specificity
ARHGAP31	Cell type enhanced	Low cancer specificity
CENPQ	Low cell type specificity	Low cancer specificity
SARS	Low cell type specificity	Low cancer specificity
RANBP3	Low cell type specificity	Low cancer specificity
ARID4A	Low cell type specificity	Low cancer specificity
EIPR1	Low cell type specificity	Low cancer specificity
PNPLA6	Low cell type specificity	Low cancer specificity
IFT88	Low cell type specificity	Low cancer specificity
ALG1	Low cell type specificity	Low cancer specificity
ZCCHC8	Low cell type specificity	Low cancer specificity
ABCF2	Low cell type specificity	Low cancer specificity
CHPF2	Low cell type specificity	Low cancer specificity
LRRC7	Group enriched	Not detected
FUT8	Low cell type specificity	Low cancer specificity
UBA6	Low cell type specificity	Low cancer specificity
GAB2	Cell type enhanced	Low cancer specificity
ATP6V0A1	Low cell type specificity	Low cancer specificity
PIAS1	Low cell type specificity	Low cancer specificity
SLC4A7	Low cell type specificity	Low cancer specificity
APBA2	Cell type enhanced	Cancer enhanced
MAP2K3	Low cell type specificity	Low cancer specificity
EFCAB1	Cell type enhanced	Cancer enhanced
TMSB10	Low cell type specificity	Low cancer specificity
ASTE1	Low cell type specificity	Low cancer specificity
RNF19A	Low cell type specificity	Low cancer specificity
PEX3	Low cell type specificity	Low cancer specificity
GABARAPL2	Low cell type specificity	Low cancer specificity
MYOC	Not detected	Cancer enriched
SH3YL1	Low cell type specificity	Low cancer specificity
FAM136A	Low cell type specificity	Low cancer specificity
VCL	Low cell type specificity	Low cancer specificity
DEPDC1B	Cell type enhanced	Low cancer specificity
DAPK2	Group enriched	Cancer enriched
NSMAF	Low cell type specificity	Low cancer specificity
ADSS	Low cell type specificity	Low cancer specificity
STAP1	Cell type enhanced	Cancer enriched
TIMP2	Cell type enhanced	Low cancer specificity
RFC1	Low cell type specificity	Low cancer specificity
TBC1D23	Low cell type specificity	Low cancer specificity
CUL3	Low cell type specificity	Low cancer specificity
MYOM2	Cell type enhanced	Low cancer specificity
OTC	Not detected	Cancer enriched
CYP46A1	Cell type enriched	Cancer enriched
AC118549.1	Low cell type specificity	Low cancer specificity
SLC18A1	Group enriched	Cancer enhanced
USP2	Cell type enhanced	Low cancer specificity
CASR	Low cell type specificity	Cancer enriched
TUBG2	Low cell type specificity	Low cancer specificity
RPL26L1	Low cell type specificity	Low cancer specificity
FLT4	Cell type enriched	Low cancer specificity
NSUN2	Low cell type specificity	Low cancer specificity
FBXO42	Low cell type specificity	Low cancer specificity
MFAP3	Low cell type specificity	Low cancer specificity
MRI1	Low cell type specificity	Low cancer specificity
METTL1	Low cell type specificity	Low cancer specificity
HOXC8	Not detected	Low cancer specificity
AGA	Low cell type specificity	Low cancer specificity
PI4K2B	Low cell type specificity	Low cancer specificity
BOD1L1	Cell type enriched	Low cancer specificity
MAT2B	Low cell type specificity	Low cancer specificity
TLL1	Not detected	Low cancer specificity
EDC4	Low cell type specificity	Low cancer specificity
TRIO	Low cell type specificity	Low cancer specificity
VCAN	Group enriched	Low cancer specificity
CLEC16A	Low cell type specificity	Low cancer specificity
MSR1	Cell type enhanced	Low cancer specificity
CDH1	Group enriched	Low cancer specificity
MTREX	Low cell type specificity	Low cancer specificity
DNAH5	Not detected	Cancer enhanced
ZFYVE16	Cell type enhanced	Low cancer specificity
RIPOR1	Group enriched	Low cancer specificity
C6	Not detected	Group enriched
RAI14	Low cell type specificity	Low cancer specificity
SOX30	Low cell type specificity	Low cancer specificity
PNKP	Low cell type specificity	Low cancer specificity
BEST2	Low cell type specificity	Cancer enhanced
PHLPP2	Low cell type specificity	Low cancer specificity
SPDL1	Low cell type specificity	Low cancer specificity
STAU2	Low cell type specificity	Low cancer specificity
PQLC2	Low cell type specificity	Low cancer specificity
CTNS	Low cell type specificity	Low cancer specificity
RTN4R	Cell type enhanced	Low cancer specificity
PHF23	Low cell type specificity	Low cancer specificity
CDH10	Not detected	Group enriched
INPP4A	Low cell type specificity	Low cancer specificity
RAB27B	Cell type enhanced	Low cancer specificity
PSMA4	Low cell type specificity	Low cancer specificity
MYO16	Cell type enhanced	Cancer enhanced
LSG1	Low cell type specificity	Low cancer specificity
PARP3	Low cell type specificity	Low cancer specificity
TNC	Cell type enriched	Low cancer specificity
THAP3	Low cell type specificity	Low cancer specificity
RIPOR3	Low cell type specificity	Low cancer specificity
TDP1	Low cell type specificity	Low cancer specificity
AIFM2	Low cell type specificity	Low cancer specificity
C2orf83	Not detected	Not detected
SPATA7	Low cell type specificity	Low cancer specificity
MED17	Low cell type specificity	Low cancer specificity
RETSAT	Low cell type specificity	Low cancer specificity
CAPG	Group enriched	Low cancer specificity
AP2S1	Low cell type specificity	Low cancer specificity
USH2A	Not detected	Not detected
ZPBP	Not detected	Not detected
TG	Cell type enhanced	Cancer enriched
ADAM28	Cell type enhanced	Low cancer specificity
BARX2	Not detected	Low cancer specificity
DCUN1D1	Low cell type specificity	Low cancer specificity
JADE2	Low cell type specificity	Low cancer specificity
ZIC2	Not detected	Low cancer specificity
LCP2	Low cell type specificity	Low cancer specificity
TRIT1	Low cell type specificity	Low cancer specificity
ADRB1	Cell type enhanced	Cancer enriched
GUCA2B	Cell type enriched	Cancer enhanced
CUL7	Low cell type specificity	Low cancer specificity
CTNNA1	Low cell type specificity	Low cancer specificity
PHKA2	Low cell type specificity	Low cancer specificity
CNTLN	Cell type enhanced	Low cancer specificity
EPHA3	Not detected	Low cancer specificity
HSPA5	Low cell type specificity	Low cancer specificity
DSG2	Cell type enriched	Low cancer specificity
GEMIN8	Low cell type specificity	Low cancer specificity
OFD1	Cell type enhanced	Low cancer specificity
GPM6B	Cell type enriched	Group enriched
MAGEC2	Not detected	Cancer enhanced
PREX2	Low cell type specificity	Low cancer specificity
